                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.94666,                0.51651,                  1.066,                0.93626,                0.97094,                0.96822,                0.64684,                 1.2127,                0.50644,                 1.2017,             0.00090084,             0.00090084,             0.00090084
                    114,                0.98919,                0.52478,                 1.0749,                0.92556,                0.90824,                 0.9607,                0.63231,                 1.1959,                0.50623,                 1.1849,             0.00089613,             0.00089613,             0.00089613
                    115,                0.97197,                0.52114,                 1.0794,                0.91483,                0.94989,                 0.9615,                0.62629,                 1.1938,                0.51176,                  1.181,             0.00089141,             0.00089141,             0.00089141
                    116,                0.93889,                0.52601,                 1.0614,                0.93346,                0.97386,                0.97904,                0.64975,                 1.2093,                0.50495,                 1.1844,             0.00088669,             0.00088669,             0.00088669
                    117,                0.93683,                0.53571,                  1.078,                0.94127,                0.96114,                0.97005,                0.65078,                 1.1993,                0.51452,                 1.1935,             0.00088198,             0.00088198,             0.00088198
                    118,                0.94927,                0.52522,                 1.0809,                0.93624,                 0.9614,                0.97521,                 0.6461,                 1.1814,                0.52504,                 1.1871,             0.00087726,             0.00087726,             0.00087726
                    119,                0.94157,                0.52207,                 1.0694,                0.95309,                0.95451,                0.97566,                 0.6377,                 1.2181,                0.50897,                 1.2147,             0.00087255,             0.00087255,             0.00087255
                    120,                0.98021,                0.52864,                 1.0644,                0.96004,                0.95258,                0.97634,                0.65561,                 1.2049,                0.50772,                 1.2138,             0.00086783,             0.00086783,             0.00086783
                    121,                0.96211,                0.52591,                 1.0836,                0.93259,                0.92921,                0.95809,                0.63168,                 1.2703,                0.51238,                 1.2602,             0.00086312,             0.00086312,             0.00086312
                    122,                0.93279,                0.49679,                  1.073,                0.93553,                0.95051,                0.97476,                0.65011,                 1.2415,                0.50786,                 1.2398,              0.0008584,              0.0008584,              0.0008584
                    123,                0.89067,                  0.523,                 1.0711,                 0.9548,                0.94298,                0.97092,                0.65305,                 1.2489,                0.51638,                 1.2329,             0.00085368,             0.00085368,             0.00085368
                    124,                0.94409,                0.51534,                 1.0707,                0.96028,                0.94952,                0.97425,                0.65054,                 1.2299,                0.51344,                 1.2103,             0.00084897,             0.00084897,             0.00084897
                    125,                0.90168,                0.51678,                 1.0273,                0.94846,                0.96131,                0.97367,                0.65593,                 1.2291,                0.50931,                  1.237,             0.00084425,             0.00084425,             0.00084425
